start_date,asset_number,GLD,MDYG,MDYV,SLYG,SLYV,SPYG,SPYV,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPHB,SPLV,XMLV,XSLV,XLRE,XLC
2010-01-04,16,0.3000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000031712686,0.3000000000000002,0.0,0.3000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-06,16,0.3000000000000002,2.9321417528195055e-11,2.5313393048366674e-11,0.0,0.10000000004329013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000000000002,0.0,0.3000000000000002,2.294728573823261e-11,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-06,16,0.2999999999999248,3.402833570476103e-14,0.0,2.85405472188698e-14,0.10000000000005797,0.0,0.0,1.5901465884576717e-14,2.9023958056783684e-14,3.4157103721813e-14,3.651105061906026e-15,0.0,0.2999999999999453,0.0,0.0,0.3000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-04,16,0.2999999999906631,5.284046970378339e-10,8.90281238538724e-13,1.506896999527666e-12,1.186304469912511e-12,2.996562658425912e-13,2.2417084089326047e-12,2.809594714038297e-12,4.438941526362259e-12,7.253334125469014e-12,1.6575894786483888e-12,1.4446112402847655e-12,0.2999999990272067,4.783302902876416e-13,0.16225251028443555,0.23774749046814023,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-03,16,0.29999999832275076,6.533289361333722e-09,2.1924140315069452e-08,1.7376632654957472e-08,0.00347961348201132,3.773703183918958e-11,1.0766855229635686e-10,1.1682066731669662e-08,2.8509625613574384e-10,3.74436476063063e-10,4.974956030066853e-11,2.61927707750371e-09,0.2999999834184453,1.2176781455813485e-10,0.09652035880020891,0.2999999869102264,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-04,16,0.29999985513563193,0.2999999648163558,0.0,0.0,1.496778023003578e-08,2.461531993508533e-09,4.514727566706167e-08,1.76142401220054e-08,3.8066623577913085e-08,1.5633707415869476e-07,0.0,0.09999997957134592,0.2999999792716255,6.748717411528304e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-05,16,0.3000000000000002,0.2979283141929818,0.0,0.0,0.0,7.962771241151848e-05,0.0,0.0,0.0,0.0,0.0,0.12677673368672462,0.276094167001722,0.0,0.0037320549946514526,9.503923750442896e-05,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-03,16,0.29998266313441446,7.9789387205879e-06,7.201054905356668e-06,0.008296229778816729,2.0282717867218322e-06,4.4428665385223515e-06,6.043588435132282e-06,3.0133826354227095e-05,1.849875266980382e-05,2.777932255285372e-05,4.774634922135534e-07,1.0072436049207927e-07,0.2947451970139311,0.2908584564964232,1.929002800167486e-05,0.10608020120546621,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03,16,0.2995233665160252,1.0853470582953515e-06,2.7782143300807038e-08,3.5300794026647374e-06,6.123623022624117e-08,1.106669470435455e-05,1.9539134444288582e-07,2.4571206192460378e-06,1.35366081734422e-06,2.617657882257848e-06,3.421395536412366e-07,1.8978110429722987e-05,0.2999983382964416,0.27671146489419757,1.4717868397120956e-05,0.12384519877251808,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-03,16,0.299980188433483,1.3199678760745225e-05,1.1407463412467365e-06,2.4225503773426466e-06,1.2725052660658714e-06,2.0005068809237967e-07,5.232946294858144e-08,1.1711365717742769e-05,7.050068220123128e-06,8.062963861845911e-06,1.7027979957747347e-07,2.148183409209621e-05,0.29999109850892214,0.2581831463909415,2.629920592646214e-05,0.1417740371593232,0.0,0.0,0.0,0.0,0.0,0.0
